2 wellington quay	1	p	novel
11 granby row upper	1	p	novel
26 parliament street	1	p	novel
82 dame street	1	p	novel
72 dame street	1	p	novel
college park	1	p	novel
1 leinster street	1	p	novel
merrion square	1	p	novel
2 mount street lower	1	p	novel
haddington road	1	p	novel
northumberland road	1	p	novel
7 eccles street	1		christianity
ringsend road	1		christianity
stamer street	1		christianity
hume street	1		christianity
nelson's pillar	1		christianity
rutland square	1		christianity
blessington street	1		christianity
berkely street	1		christianity
eccles street	1		christianity
phibsborough road	1		christianity
finglas road	1		christianity
windmill lane	1		christianity
18 rogerson's quay	1		christianity
19 rogerson's quay	1		christianity
lime street	1		christianity
townsend street	1		christianity
26 lombard street e.	1		christianity
164 north strand road	1		christianity
6 westland row	1		christianity
49 westland row	1		christianity
31 westland row	1		christianity
pearse street	1		christianity
cumberland street	1		christianity
153 pearse street	1		christianity
the coombe	1		christianity
46 westland row	1		christianity
1 lincoln place	1		christianity
11 leinster street	1		christianity
upper gardiner street	1		christianity
mountjoy square	1		christianity
fitzgibbon street	1		christianity
great charles street	1		christianity
north circular road	1		christianity
4 n. strand road	1		christianity
16 n. strand road	1		christianity
17 n. strand road	1		christianity
164 n. strand road	1		christianity
21 n. strand road	1		christianity
newcomen bridge	1		christianity
annesley bridge	1		christianity
howth road	1		christianity
malahide road	1		christianity
11 2 dorset street lower	1		christianity
clongowes fields	1		christianity
61 grafton street	1		christianity
college green	1		christianity
52 grafton street	1		christianity
8 ormond quay upper	1		christianity
crampton court	1		christianity
sycamore street	1		christianity
jervis street	1		christianity
30 essex street east	1		christianity
29 essex street east	1		christianity
merchant's arch	1		christianity
metal bridge	1		christianity
wellington quay	1		christianity
42 camden street lower	1		christianity
25 bachelor's walk	1		christianity
james's street	1		christianity
5 dame street	1		christianity
35 dame street	1		christianity
28 james's street	1		christianity
48 james's street	1		christianity
2 sackville st. lower	1		christianity
12 sackville st. lower	1		christianity
carlisle bridge	1		christianity
21 watling street	1		christianity
27 bachelor's walk	1		christianity
31 dame street	1		christianity
island street	1		christianity
watling street	1		christianity
49 fleet street	1		christianity
1 bedford row	1		christianity
10 bedford row	1		christianity
19 ormond quay lower	1		christianity
31 mary's abbey	1		christianity
christchurch place	1		christianity
dame street	1		christianity
lord edward street	1		christianity
cork hill	1		christianity
37 parliament street	1		christianity
27 parliament street	1		christianity
30 parliament street	1		christianity
33 dame street	1		christianity
14 nelson street	1		christianity
60 mount street lower	1		christianity
14 clare street	1		christianity
31 merrion square north	1		christianity
1 merrion square north	1		christianity
23 wicklow street	1		christianity
8 bridge street	1		christianity
33 wicklow street	1		christianity
sean heuston bridge	1		christianity
ror o'more bridge	1		christianity
father mathew bridge	1		christianity
29 kildare street	1		christianity
32 arran quay	1		christianity
d'donovan rossa bridge	1		christianity
34 ormond quay upper	1		christianity
36 ormond quay upper	1		christianity
15 wood quay	1		christianity
30 ormond quay upper	1		christianity
grattan bridge	1		christianity
11 wellington quay	1		christianity
2 wellington quay	1		christianity
11 granby row upper	1		christianity
26 parliament street	1		christianity
82 dame street	1		christianity
72 dame street	1		christianity
college park	1		christianity
1 leinster street	1		christianity
merrion square	1		christianity
2 mount street lower	1		christianity
haddington road	1		christianity
northumberland road	1		christianity
7 eccles street	1		irish
ringsend road	1		irish
stamer street	1		irish
hume street	1		irish
nelson's pillar	1		irish
rutland square	1		irish
blessington street	1		irish
berkely street	1		irish
eccles street	1		irish
phibsborough road	1		irish
finglas road	1		irish
windmill lane	1		irish
18 rogerson's quay	1		irish
19 rogerson's quay	1		irish
lime street	1		irish
townsend street	1		irish
26 lombard street e.	1		irish
164 north strand road	1		irish
6 westland row	1		irish
49 westland row	1		irish
31 westland row	1		irish
pearse street	1		irish
cumberland street	1		irish
153 pearse street	1		irish
the coombe	1		irish
46 westland row	1		irish
1 lincoln place	1		irish
11 leinster street	1		irish
upper gardiner street	1		irish
mountjoy square	1		irish
fitzgibbon street	1		irish
great charles street	1		irish
north circular road	1		irish
4 n. strand road	1		irish
16 n. strand road	1		irish
17 n. strand road	1		irish
164 n. strand road	1		irish
21 n. strand road	1		irish
newcomen bridge	1		irish
annesley bridge	1		irish
howth road	1		irish
malahide road	1		irish
11 2 dorset street lower	1		irish
clongowes fields	1		irish
61 grafton street	1		irish
college green	1		irish
52 grafton street	1		irish
8 ormond quay upper	1		irish
crampton court	1		irish
sycamore street	1		irish
jervis street	1		irish
30 essex street east	1		irish
29 essex street east	1		irish
merchant's arch	1		irish
metal bridge	1		irish
wellington quay	1		irish
42 camden street lower	1		irish
25 bachelor's walk	1		irish
james's street	1		irish
5 dame street	1		irish
35 dame street	1		irish
28 james's street	1		irish
48 james's street	1		irish
2 sackville st. lower	1		irish
12 sackville st. lower	1		irish
carlisle bridge	1		irish
21 watling street	1		irish
27 bachelor's walk	1		irish
31 dame street	1		irish
island street	1		irish
watling street	1		irish
49 fleet street	1		irish
1 bedford row	1		irish
10 bedford row	1		irish
19 ormond quay lower	1		irish
31 mary's abbey	1		irish
christchurch place	1		irish
